start	end	type
117	118	PARENT_OF
117	127	PARENT_OF
116	117	PARENT_OF
129	130	PARENT_OF
128	129	PARENT_OF
128	131	PARENT_OF
116	128	PARENT_OF
113	116	PARENT_OF
5	113	PARENT_OF
135	136	PARENT_OF
134	135	PARENT_OF
138	139	PARENT_OF
137	138	PARENT_OF
134	137	PARENT_OF
133	134	PARENT_OF
141	142	PARENT_OF
140	141	PARENT_OF
133	140	PARENT_OF
132	133	PARENT_OF
5	132	PARENT_OF
147	148	PARENT_OF
146	147	PARENT_OF
152	153	PARENT_OF
151	152	PARENT_OF
151	154	PARENT_OF
150	151	PARENT_OF
150	155	PARENT_OF
149	150	PARENT_OF
156	157	PARENT_OF
149	156	PARENT_OF
146	149	PARENT_OF
145	146	PARENT_OF
144	145	PARENT_OF
159	160	PARENT_OF
158	159	PARENT_OF
144	158	PARENT_OF
143	144	PARENT_OF
5	143	PARENT_OF
2	5	PARENT_OF
1	2	FILE_OF
162	163	ENTRY
162	164	EXIT
168	169	PARENT_OF
167	168	PARENT_OF
167	170	PARENT_OF
166	167	PARENT_OF
172	173	PARENT_OF
171	172	PARENT_OF
176	177	PARENT_OF
175	176	PARENT_OF
175	178	PARENT_OF
174	175	PARENT_OF
171	174	PARENT_OF
166	171	PARENT_OF
165	166	PARENT_OF
181	182	PARENT_OF
180	181	PARENT_OF
180	183	PARENT_OF
179	180	PARENT_OF
185	186	PARENT_OF
184	185	PARENT_OF
189	190	PARENT_OF
188	189	PARENT_OF
188	191	PARENT_OF
187	188	PARENT_OF
184	187	PARENT_OF
179	184	PARENT_OF
165	179	PARENT_OF
198	199	PARENT_OF
197	198	PARENT_OF
197	200	PARENT_OF
196	197	PARENT_OF
195	196	PARENT_OF
194	195	PARENT_OF
203	204	PARENT_OF
202	203	PARENT_OF
202	205	PARENT_OF
201	202	PARENT_OF
201	206	PARENT_OF
194	201	PARENT_OF
193	194	PARENT_OF
210	211	PARENT_OF
209	210	PARENT_OF
209	212	PARENT_OF
208	209	PARENT_OF
208	213	PARENT_OF
207	208	PARENT_OF
193	207	PARENT_OF
192	193	PARENT_OF
165	192	PARENT_OF
219	220	PARENT_OF
218	219	PARENT_OF
223	224	PARENT_OF
222	223	PARENT_OF
222	225	PARENT_OF
221	222	PARENT_OF
221	226	PARENT_OF
218	221	PARENT_OF
217	218	PARENT_OF
228	229	PARENT_OF
227	228	PARENT_OF
217	227	PARENT_OF
216	217	PARENT_OF
232	233	PARENT_OF
231	232	PARENT_OF
236	237	PARENT_OF
235	236	PARENT_OF
235	238	PARENT_OF
234	235	PARENT_OF
234	239	PARENT_OF
231	234	PARENT_OF
230	231	PARENT_OF
241	242	PARENT_OF
240	241	PARENT_OF
230	240	PARENT_OF
216	230	PARENT_OF
215	216	PARENT_OF
244	245	PARENT_OF
243	244	PARENT_OF
215	243	PARENT_OF
214	215	PARENT_OF
165	214	PARENT_OF
249	250	PARENT_OF
248	249	PARENT_OF
251	252	PARENT_OF
254	255	PARENT_OF
253	254	PARENT_OF
253	256	PARENT_OF
251	253	PARENT_OF
248	251	PARENT_OF
247	248	PARENT_OF
258	259	PARENT_OF
257	258	PARENT_OF
247	257	PARENT_OF
246	247	PARENT_OF
165	246	PARENT_OF
261	262	PARENT_OF
260	261	PARENT_OF
266	267	PARENT_OF
265	266	PARENT_OF
270	271	PARENT_OF
269	270	PARENT_OF
269	272	PARENT_OF
268	269	PARENT_OF
268	273	PARENT_OF
265	268	PARENT_OF
264	265	PARENT_OF
264	274	PARENT_OF
263	264	PARENT_OF
276	277	PARENT_OF
275	276	PARENT_OF
275	278	PARENT_OF
263	275	PARENT_OF
260	263	PARENT_OF
165	260	PARENT_OF
282	283	PARENT_OF
281	282	PARENT_OF
285	286	PARENT_OF
284	285	PARENT_OF
281	284	PARENT_OF
280	281	PARENT_OF
288	289	PARENT_OF
287	288	PARENT_OF
280	287	PARENT_OF
279	280	PARENT_OF
165	279	PARENT_OF
294	295	PARENT_OF
293	294	PARENT_OF
299	300	PARENT_OF
298	299	PARENT_OF
298	301	PARENT_OF
297	298	PARENT_OF
297	302	PARENT_OF
296	297	PARENT_OF
303	304	PARENT_OF
296	303	PARENT_OF
293	296	PARENT_OF
292	293	PARENT_OF
291	292	PARENT_OF
306	307	PARENT_OF
305	306	PARENT_OF
291	305	PARENT_OF
290	291	PARENT_OF
165	290	PARENT_OF
162	165	PARENT_OF
161	162	FILE_OF
0	1	DIRECTORY_OF
0	161	DIRECTORY_OF
